Num_Acc,jour,mois,an,hrmn,lum,dep,com,agg,int,atm,col,adr,lat,long,catr,voie,v1,v2,circ,nbv,vosp,prof,pr,pr1,plan,lartpc,larrout,surf,infra,situ,vma,id_vehicule_x,num_veh_x,senc,catv,obs,obsm,choc,manv,motor,occutc,id_usager_x,id_vehicule_y,num_veh_y,place_x,catu_x,grav_x,sexe_x,an_nais_x,trajet_x,secu1_x,secu2_x,secu3_x,locp_x,actp_x,etatp_x,id_usager_y,id_vehicule,num_veh,place_y,catu_y,grav_y,sexe_y,an_nais_y,trajet_y,secu1_y,secu2_y,secu3_y,locp_y,actp_y,etatp_y,id_usager,place,catu,grav,sexe,an_nais,trajet,secu1,secu2,secu3,locp,actp,etatp
202200001758,2.0,5.0,2022.0,08:32,1.0,69,69383,2.0,2.0,1.0,3.0,Boulevard Marius Vivier-Merle,45.7570266536,4.8588162661,4.0,MARIUS VIVIER MERLE                 (BD),0.0,,1.0,3,3.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 827,B01,1.0,1.0,0.0,2.0,1.0,15.0,5.0,,1 095 514,810 827,B01,1.0,1.0,4.0,2.0,1970.0,1.0,2.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001758,2.0,5.0,2022.0,08:32,1.0,69,69383,2.0,2.0,1.0,3.0,Boulevard Marius Vivier-Merle,45.7570266536,4.8588162661,4.0,MARIUS VIVIER MERLE                 (BD),0.0,,1.0,3,3.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 827,B01,1.0,1.0,0.0,2.0,1.0,15.0,5.0,,1 095 516,810 829,A01,1.0,1.0,1.0,1.0,1995.0,0.0,1.0,-1.0,-1.0,-1.0, -1,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001893,23.0,8.0,2022.0,12:30,1.0,69,69266,2.0,2.0,1.0,3.0,Rue Château Gaillard,45.77362,4.88822,4.0,CHATEAU GAILLARD     (Rue de),0.0,,2.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 593,E01,0.0,1.0,0.0,2.0,0.0,0.0,-1.0,,1 095 207,810 590,A01,1.0,1.0,4.0,1.0,2000.0,1.0,2.0,6.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001893,23.0,8.0,2022.0,12:30,1.0,69,69266,2.0,2.0,1.0,3.0,Rue Château Gaillard,45.77362,4.88822,4.0,CHATEAU GAILLARD     (Rue de),0.0,,2.0,2,0.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 593,E01,0.0,1.0,0.0,2.0,0.0,0.0,-1.0,,1 095 209,810 593,E01,1.0,1.0,4.0,2.0,1972.0,0.0,8.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001951,24.0,11.0,2022.0,15:45,1.0,69,69387,2.0,2.0,1.0,3.0,Avenue Debourg,45.73146,4.82993,4.0,DEBOURG                             (AV),0.0,,2.0,2,2.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 480,B01,1.0,1.0,0.0,2.0,3.0,1.0,0.0,,1 095 060,810 478,A01,1.0,1.0,1.0,1.0,2003.0,4.0,1.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001951,24.0,11.0,2022.0,15:45,1.0,69,69387,2.0,2.0,1.0,3.0,Avenue Debourg,45.73146,4.82993,4.0,DEBOURG                             (AV),0.0,,2.0,2,2.0,1.0,(1),(1),1.0,, -1,1.0,0.0,1.0,50.0,810 480,B01,1.0,1.0,0.0,2.0,3.0,1.0,0.0,,1 095 062,810 480,B01,1.0,1.0,4.0,2.0,1983.0,5.0,2.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001975,24.0,11.0,2022.0,20:30,5.0,69,69385,2.0,1.0,1.0,3.0,Quai Romain Rolland,45.7645998655,4.8290920257,4.0,ROMAIN ROLLAND                      (QU),0.0,,2.0,2,1.0,1.0,(1),(1),1.0,, -1,1.0,2.0,1.0,30.0,810 436,B01,1.0,1.0,0.0,2.0,5.0,19.0,5.0,,1 095 002,810 432,A01,1.0,1.0,1.0,2.0,1967.0,4.0,1.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001975,24.0,11.0,2022.0,20:30,5.0,69,69385,2.0,1.0,1.0,3.0,Quai Romain Rolland,45.7645998655,4.8290920257,4.0,ROMAIN ROLLAND                      (QU),0.0,,2.0,2,1.0,1.0,(1),(1),1.0,, -1,1.0,2.0,1.0,30.0,810 436,B01,1.0,1.0,0.0,2.0,5.0,19.0,5.0,,1 095 006,810 436,B01,1.0,1.0,3.0,1.0,2006.0,0.0,8.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001982,24.0,11.0,2022.0,17:45,5.0,69,69384,2.0,1.0,1.0,3.0,34 Boulevard de la Croix-Rousse,45.7729621773,4.8210740089,4.0,CROIX-ROUSSE (DE LA)                (BD),0.0,,1.0,3,2.0,2.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,810 422,B01,1.0,1.0,12.0,2.0,0.0,0.0,0.0,,1 094 989,810 422,B01,1.0,1.0,3.0,2.0,1959.0,0.0,2.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202200001982,24.0,11.0,2022.0,17:45,5.0,69,69384,2.0,1.0,1.0,3.0,34 Boulevard de la Croix-Rousse,45.7729621773,4.8210740089,4.0,CROIX-ROUSSE (DE LA)                (BD),0.0,,1.0,3,2.0,2.0,(1),(1),1.0,, -1,1.0,0.0,1.0,30.0,810 422,B01,1.0,1.0,12.0,2.0,0.0,0.0,0.0,,1 094 992,810 425,A01,2.0,2.0,1.0,2.0,1963.0,0.0,1.0,-1.0,-1.0,0.0,0,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
